time,go_gc_duration_seconds_payment:80_payment_0,go_gc_duration_seconds_payment:80_payment_0.25,go_gc_duration_seconds_payment:80_payment_0.5,go_gc_duration_seconds_payment:80_payment_0.75,go_gc_duration_seconds_payment:80_payment_1,go_gc_duration_seconds_count_payment:80_payment,go_gc_duration_seconds_sum_payment:80_payment,go_goroutines_payment:80_payment,go_memstats_alloc_bytes_payment:80_payment,go_memstats_alloc_bytes_total_payment:80_payment,go_memstats_buck_hash_sys_bytes_payment:80_payment,go_memstats_frees_total_payment:80_payment,go_memstats_gc_sys_bytes_payment:80_payment,go_memstats_heap_alloc_bytes_payment:80_payment,go_memstats_heap_idle_bytes_payment:80_payment,go_memstats_heap_inuse_bytes_payment:80_payment,go_memstats_heap_objects_payment:80_payment,go_memstats_heap_released_bytes_payment:80_payment,go_memstats_heap_sys_bytes_payment:80_payment,go_memstats_last_gc_time_seconds_payment:80_payment,go_memstats_lookups_total_payment:80_payment,go_memstats_mallocs_total_payment:80_payment,go_memstats_mcache_inuse_bytes_payment:80_payment,go_memstats_mcache_sys_bytes_payment:80_payment,go_memstats_mspan_inuse_bytes_payment:80_payment,go_memstats_mspan_sys_bytes_payment:80_payment,go_memstats_next_gc_bytes_payment:80_payment,go_memstats_other_sys_bytes_payment:80_payment,go_memstats_stack_inuse_bytes_payment:80_payment,go_memstats_stack_sys_bytes_payment:80_payment,go_memstats_sys_bytes_payment:80_payment,process_cpu_seconds_total_payment:80_payment,process_max_fds_payment:80_payment,process_open_fds_payment:80_payment,process_resident_memory_bytes_payment:80_payment,process_start_time_seconds_payment:80_payment,process_virtual_memory_bytes_payment:80_payment,request_duration_seconds_bucket_payment:80_false_payment_0.005_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.01_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.025_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.05_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.1_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.25_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_1_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_2.5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_10_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_+Inf_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.005_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.01_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.025_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.05_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.1_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.25_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_1_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_2.5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_10_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_+Inf_POST_paymentauth_200,request_duration_seconds_count_payment:80_false_payment_GET_metrics_200,request_duration_seconds_count_payment:80_false_payment_POST_paymentauth_200,request_duration_seconds_sum_payment:80_false_payment_GET_metrics_200,request_duration_seconds_sum_payment:80_false_payment_POST_paymentauth_200,scrape_duration_seconds_payment:80_payment,scrape_samples_post_metric_relabeling_payment:80_payment,scrape_samples_scraped_payment:80_payment,scrape_series_added_payment:80_payment,up_payment:80_payment
2020-05-31T18:35:28,7.4233e-05,0.000297541,0.00040061000000000003,0.000737585,0.017773471000000002,39279.0,11.901850305,16.0,3419824.0,107665612952.0,1536818.0,287414384.0,561152.0,2202056.0,5447680.0,4161536.0,19658.0,942080.0,8650752.0,1590930291.047901,896871.0,287462065.0,4800.0,16384.0,47840.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.7,1048576.0,10.0,16846848.0,1590384708.54,22032384.0,110464.0,110764.0,110789.0,110790.0,110790.0,110790.0,110790.0,110790.0,110790.0,110790.0,110790.0,110790.0,977526.0,978831.0,979233.0,979269.0,979281.0,979281.0,979281.0,979281.0,979281.0,979281.0,979281.0,979281.0,110840.0,980099.0,195.6126246200008,313.52717623500513,0.002387606,65.0,65.0,0.0,1.0
2020-05-31T18:35:29,7.4233e-05,0.000297541,0.00040061000000000003,0.000737585,0.017773471000000002,39279.0,11.901850305,15.0,2192584.0,107666693168.0,1536818.0,287422361.0,561152.0,3335344.0,4489216.0,3162112.0,14335.0,942080.0,8650752.0,1590930293.0454395,896879.0,287466736.0,4800.0,16384.0,48800.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.7,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110465.0,110765.0,110790.0,110791.0,110791.0,110791.0,110791.0,110791.0,110791.0,110791.0,110791.0,110791.0,977559.0,978864.0,979266.0,979302.0,979314.0,979314.0,979314.0,979314.0,979314.0,979314.0,979314.0,979314.0,110841.0,980105.0,195.6142867520008,313.53383079000514,0.006517493,65.0,65.0,0.0,1.0
2020-05-31T18:35:30,7.4233e-05,0.000297541,0.00040061000000000003,0.000737585,0.017773471000000002,39280.0,11.902184209,15.0,3348128.0,107667798920.0,1536818.0,287423127.0,561152.0,2212472.0,5488640.0,4087808.0,18342.0,942080.0,8650752.0,1590930293.0454395,896888.0,287469834.0,4800.0,16384.0,48000.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.72,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110466.0,110766.0,110791.0,110792.0,110792.0,110792.0,110792.0,110792.0,110792.0,110792.0,110792.0,110792.0,977594.0,978899.0,979301.0,979337.0,979349.0,979349.0,979349.0,979349.0,979349.0,979349.0,979349.0,979349.0,110842.0,980106.0,195.61550718500078,313.54369394900505,0.002186567,65.0,65.0,0.0,1.0
2020-05-31T18:35:31,7.4233e-05,0.000297541,0.000400006,0.000737585,0.017773471000000002,39280.0,11.902184209,15.0,2105056.0,107668975728.0,1536818.0,287432961.0,561152.0,3317744.0,4562944.0,3170304.0,14876.0,942080.0,8650752.0,1590930295.0445096,896895.0,287473525.0,4800.0,16384.0,48000.0,98304.0,4194304.0,1140166.0,1835008.0,1310720.0,13838584.0,757.73,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110467.0,110767.0,110792.0,110793.0,110793.0,110793.0,110793.0,110793.0,110793.0,110793.0,110793.0,110793.0,977626.0,978931.0,979333.0,979369.0,979381.0,979381.0,979381.0,979381.0,979381.0,979381.0,979381.0,979381.0,110843.0,980108.0,195.6185507930008,313.55443103200486,0.004556968,65.0,65.0,0.0,1.0
2020-05-31T18:35:32,7.4233e-05,0.000297541,0.000400006,0.000737585,0.017773471000000002,39281.0,11.902442604,15.0,3210808.0,107670109016.0,1536818.0,287433655.0,561152.0,2123016.0,5480448.0,4071424.0,17452.0,942080.0,8650752.0,1590930295.0445096,896903.0,287477821.0,4800.0,16384.0,47680.0,98304.0,4194304.0,1140166.0,1310720.0,1835008.0,13838584.0,757.75,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110468.0,110768.0,110793.0,110794.0,110794.0,110794.0,110794.0,110794.0,110794.0,110794.0,110794.0,110794.0,977649.0,978954.0,979356.0,979392.0,979404.0,979404.0,979404.0,979404.0,979404.0,979404.0,979404.0,979404.0,110844.0,980114.0,195.6198937870008,313.58123534600514,0.002198238,65.0,65.0,0.0,1.0
2020-05-31T18:35:33,7.4233e-05,0.000297541,0.000400006,0.000737585,0.017773471000000002,39281.0,11.902442604,15.0,2202056.0,107671291800.0,1536818.0,287443037.0,561152.0,3212880.0,4579328.0,3145728.0,13989.0,942080.0,8650752.0,1590930297.0441196,896912.0,287481383.0,4800.0,16384.0,47840.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.76,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110469.0,110769.0,110794.0,110795.0,110795.0,110795.0,110795.0,110795.0,110795.0,110795.0,110795.0,110795.0,977679.0,978984.0,979386.0,979422.0,979434.0,979434.0,979434.0,979434.0,979434.0,979434.0,979434.0,979434.0,110845.0,980119.0,195.6237733280008,313.59923530000526,0.003376381,65.0,65.0,0.0,1.0
2020-05-31T18:35:34,7.4233e-05,0.000297541,0.000400006,0.000737585,0.017773471000000002,39282.0,11.90302189,15.0,3335344.0,107672397072.0,1536818.0,287443723.0,561152.0,2156856.0,5505024.0,4096000.0,17653.0,942080.0,8650752.0,1590930297.0441196,896924.0,287484824.0,4800.0,16384.0,48480.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.77,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110470.0,110770.0,110795.0,110796.0,110796.0,110796.0,110796.0,110796.0,110796.0,110796.0,110796.0,110796.0,977703.0,979008.0,979410.0,979446.0,979458.0,979458.0,979458.0,979458.0,979458.0,979458.0,979458.0,979458.0,110846.0,980127.0,195.6287365220008,313.61278806200534,0.002501797,65.0,65.0,0.0,1.0
2020-05-31T18:35:35,7.4233e-05,0.000298625,0.00040061000000000003,0.000737585,0.017773471000000002,39282.0,11.90302189,14.0,2212472.0,107673491656.0,1536818.0,287451860.0,561152.0,3159568.0,4554752.0,3170304.0,13785.0,942080.0,8650752.0,1590930299.0637276,896931.0,287487363.0,4800.0,16384.0,47840.0,98304.0,4194304.0,1140166.0,1835008.0,1835008.0,13838584.0,757.79,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110471.0,110771.0,110796.0,110797.0,110797.0,110797.0,110797.0,110797.0,110797.0,110797.0,110797.0,110797.0,977737.0,979042.0,979444.0,979480.0,979492.0,979492.0,979492.0,979492.0,979492.0,979492.0,979492.0,979492.0,110847.0,980143.0,195.63146753500078,313.6226754120054,0.005229081,65.0,65.0,0.0,1.0
2020-05-31T18:35:36,7.4233e-05,0.000298625,0.00040061000000000003,0.000737585,0.017773471000000002,39283.0,11.903378802,15.0,3317744.0,107674581520.0,1536818.0,287452382.0,561152.0,2093720.0,5480448.0,4030464.0,16648.0,942080.0,9175040.0,1590930299.0637276,896946.0,287490841.0,4800.0,16384.0,48800.0,98304.0,4194304.0,1140166.0,1835008.0,1310720.0,13838584.0,757.8,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110472.0,110772.0,110797.0,110798.0,110798.0,110798.0,110798.0,110798.0,110798.0,110798.0,110798.0,110798.0,977778.0,979083.0,979485.0,979521.0,979533.0,979533.0,979533.0,979533.0,979533.0,979533.0,979533.0,979533.0,110848.0,980170.0,195.6329672750008,313.6316286710053,0.003681506,65.0,65.0,0.0,1.0
2020-05-31T18:35:37,7.4233e-05,0.000298625,0.00040061000000000003,0.000737585,0.017773471000000002,39283.0,11.903378802,15.0,2123016.0,107675715128.0,1536818.0,287459536.0,561152.0,3179848.0,4620288.0,2318336.0,11964.0,942080.0,8650752.0,1590930299.0637276,896954.0,287494544.0,4800.0,16384.0,48160.0,98304.0,4194304.0,1140166.0,1310720.0,1835008.0,13838584.0,757.82,1048576.0,11.0,16846848.0,1590384708.54,22032384.0,110473.0,110773.0,110798.0,110799.0,110799.0,110799.0,110799.0,110799.0,110799.0,110799.0,110799.0,110799.0,977808.0,979113.0,979515.0,979551.0,979563.0,979563.0,979563.0,979563.0,979563.0,979563.0,979563.0,979563.0,110849.0,980204.0,195.6363450330008,313.63470962700524,0.006430259,65.0,65.0,0.0,1.0
