time,go_gc_duration_seconds_payment:80_payment_0,go_gc_duration_seconds_payment:80_payment_0.25,go_gc_duration_seconds_payment:80_payment_0.5,go_gc_duration_seconds_payment:80_payment_0.75,go_gc_duration_seconds_payment:80_payment_1,go_gc_duration_seconds_count_payment:80_payment,go_gc_duration_seconds_sum_payment:80_payment,go_goroutines_payment:80_payment,go_memstats_alloc_bytes_payment:80_payment,go_memstats_alloc_bytes_total_payment:80_payment,go_memstats_buck_hash_sys_bytes_payment:80_payment,go_memstats_frees_total_payment:80_payment,go_memstats_gc_sys_bytes_payment:80_payment,go_memstats_heap_alloc_bytes_payment:80_payment,go_memstats_heap_idle_bytes_payment:80_payment,go_memstats_heap_inuse_bytes_payment:80_payment,go_memstats_heap_objects_payment:80_payment,go_memstats_heap_released_bytes_payment:80_payment,go_memstats_heap_sys_bytes_payment:80_payment,go_memstats_last_gc_time_seconds_payment:80_payment,go_memstats_lookups_total_payment:80_payment,go_memstats_mallocs_total_payment:80_payment,go_memstats_mcache_inuse_bytes_payment:80_payment,go_memstats_mcache_sys_bytes_payment:80_payment,go_memstats_mspan_inuse_bytes_payment:80_payment,go_memstats_mspan_sys_bytes_payment:80_payment,go_memstats_next_gc_bytes_payment:80_payment,go_memstats_other_sys_bytes_payment:80_payment,go_memstats_stack_inuse_bytes_payment:80_payment,go_memstats_stack_sys_bytes_payment:80_payment,go_memstats_sys_bytes_payment:80_payment,process_cpu_seconds_total_payment:80_payment,process_max_fds_payment:80_payment,process_open_fds_payment:80_payment,process_resident_memory_bytes_payment:80_payment,process_start_time_seconds_payment:80_payment,process_virtual_memory_bytes_payment:80_payment,request_duration_seconds_bucket_payment:80_false_payment_0.005_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.01_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.025_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.05_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.1_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.25_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_1_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_2.5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_5_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_10_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_+Inf_POST_paymentauth_200,request_duration_seconds_bucket_payment:80_false_payment_0.005_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.01_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.025_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.05_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.1_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.25_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_0.5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_1_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_2.5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_5_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_10_GET_metrics_200,request_duration_seconds_bucket_payment:80_false_payment_+Inf_GET_metrics_200,request_duration_seconds_count_payment:80_false_payment_POST_paymentauth_200,request_duration_seconds_count_payment:80_false_payment_GET_metrics_200,request_duration_seconds_sum_payment:80_false_payment_POST_paymentauth_200,request_duration_seconds_sum_payment:80_false_payment_GET_metrics_200,scrape_duration_seconds_payment:80_payment,scrape_samples_post_metric_relabeling_payment:80_payment,scrape_samples_scraped_payment:80_payment,scrape_series_added_payment:80_payment,up_payment:80_payment
2020-05-31T13:04:20,0.00010145600000000001,0.000322052,0.00044828800000000003,0.000684159,0.010701283,36731.0,10.538902292,14.0,3696024.0,100739524912.0,1535290.0,249740596.0,561152.0,3696024.0,4235264.0,4448256.0,36372.0,2195456.0,8683520.0,1590910432.6079643,849009.0,249795240.0,4800.0,16384.0,58400.0,98304.0,4194304.0,1141694.0,1802240.0,1802240.0,13838584.0,618.88,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,698915.0,699889.0,700190.0,700217.0,700227.0,700227.0,700227.0,700227.0,700227.0,700227.0,700227.0,700227.0,104880.0,105110.0,105131.0,105132.0,105132.0,105132.0,105132.0,105132.0,105132.0,105132.0,105132.0,105132.0,700359.0,105133.0,224.99297488300965,184.80115408700044,0.002611767,65.0,65.0,0.0,1.0
2020-05-31T13:04:25,0.00010145600000000001,0.000322052,0.00044828800000000003,0.000684159,0.010701283,36732.0,10.539643989,14.0,2980784.0,100741489232.0,1535290.0,249768241.0,561152.0,2980784.0,4882432.0,3801088.0,26999.0,2195456.0,8683520.0,1590910441.579387,849024.0,249813668.0,4800.0,16384.0,57600.0,98304.0,4194304.0,1141694.0,1277952.0,1277952.0,13838584.0,618.95,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,699047.0,700021.0,700322.0,700349.0,700359.0,700359.0,700359.0,700359.0,700359.0,700359.0,700359.0,700359.0,104880.0,105111.0,105132.0,105133.0,105133.0,105133.0,105133.0,105133.0,105133.0,105133.0,105133.0,105133.0,700489.0,105134.0,225.0338510510097,184.80272357400045,0.003451159,65.0,65.0,0.0,1.0
2020-05-31T13:04:30,0.00010145600000000001,0.000322052,0.00044828800000000003,0.0006814950000000001,0.010701283,36733.0,10.540117962,14.0,2152824.0,100743484776.0,1535290.0,249787827.0,561152.0,2152824.0,6184960.0,3022848.0,25841.0,2195456.0,9207808.0,1590910446.6581922,849025.0,249829860.0,4800.0,16384.0,53120.0,98304.0,4194304.0,1141694.0,1277952.0,1277952.0,13838584.0,619.02,1048576.0,9.0,15482880.0,1590384708.54,22032384.0,699177.0,700151.0,700452.0,700479.0,700489.0,700489.0,700489.0,700489.0,700489.0,700489.0,700489.0,700489.0,104881.0,105112.0,105133.0,105134.0,105134.0,105134.0,105134.0,105134.0,105134.0,105134.0,105134.0,105134.0,700639.0,105135.0,225.07541738400954,184.80408175000045,0.002789589,65.0,65.0,0.0,1.0
2020-05-31T13:04:35,0.00010145600000000001,0.000321393,0.000446961,0.000676362,0.010701283,36734.0,10.540423508,14.0,1164552.0,100745310528.0,1535290.0,249817999.0,561152.0,1164552.0,6766592.0,2441216.0,11861.0,2195456.0,9207808.0,1590910456.2160003,849040.0,249844559.0,4800.0,16384.0,57280.0,98304.0,4194304.0,1141694.0,1802240.0,1802240.0,13838584.0,619.08,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,699327.0,700301.0,700602.0,700629.0,700639.0,700639.0,700639.0,700639.0,700639.0,700639.0,700639.0,700639.0,104882.0,105113.0,105134.0,105135.0,105135.0,105135.0,105135.0,105135.0,105135.0,105135.0,105135.0,105135.0,700788.0,105136.0,225.1180326010096,184.80664067000046,0.002875822,65.0,65.0,0.0,1.0
2020-05-31T13:04:40,0.00010145600000000001,0.000321393,0.000446961,0.000676362,0.010701283,36734.0,10.540423508,13.0,2903000.0,100747048976.0,1535290.0,249819794.0,561152.0,2903000.0,4907008.0,3776512.0,24765.0,2195456.0,8683520.0,1590910456.2160003,849043.0,249861481.0,4800.0,16384.0,54400.0,98304.0,4194304.0,1141694.0,1310720.0,1310720.0,13838584.0,619.15,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,699476.0,700450.0,700751.0,700778.0,700788.0,700788.0,700788.0,700788.0,700788.0,700788.0,700788.0,700788.0,104883.0,105114.0,105135.0,105136.0,105136.0,105136.0,105136.0,105136.0,105136.0,105136.0,105136.0,105136.0,700934.0,105137.0,225.16082853700948,184.80803239300047,0.004182019,65.0,65.0,0.0,1.0
2020-05-31T13:04:45,0.00010145600000000001,0.000321393,0.000446961,0.000676362,0.010701283,36735.0,10.540985577,14.0,1931280.0,100748920680.0,1535290.0,249838538.0,561152.0,1931280.0,6373376.0,2801664.0,22943.0,2195456.0,9175040.0,1590910462.3837929,849050.0,249876132.0,4800.0,16384.0,65920.0,98304.0,4194304.0,1141694.0,1835008.0,1835008.0,13838584.0,619.22,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,699622.0,700596.0,700897.0,700924.0,700934.0,700934.0,700934.0,700934.0,700934.0,700934.0,700934.0,700934.0,104884.0,105115.0,105136.0,105137.0,105137.0,105137.0,105137.0,105137.0,105137.0,105137.0,105137.0,105137.0,701080.0,105138.0,225.19885421400951,184.80963325000047,0.002302746,65.0,65.0,0.0,1.0
2020-05-31T13:04:50,0.00010145600000000001,0.000321393,0.000446961,0.000676362,0.010701283,36735.0,10.540985577,14.0,3639144.0,100750628544.0,1535290.0,249840319.0,561152.0,3639144.0,4341760.0,4308992.0,35813.0,2195456.0,8650752.0,1590910462.3837929,849058.0,249891180.0,4800.0,16384.0,57280.0,98304.0,4194304.0,1141694.0,1835008.0,1835008.0,13838584.0,619.28,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,699768.0,700742.0,701043.0,701070.0,701080.0,701080.0,701080.0,701080.0,701080.0,701080.0,701080.0,701080.0,104885.0,105116.0,105137.0,105138.0,105138.0,105138.0,105138.0,105138.0,105138.0,105138.0,105138.0,105138.0,701232.0,105139.0,225.24147158600948,184.81291780300046,0.004168388,65.0,65.0,0.0,1.0
2020-05-31T13:04:55,0.00010145600000000001,0.00032112600000000003,0.00044664300000000004,0.000672872,0.010701283,36736.0,10.541272954,15.0,2794792.0,100752406408.0,1535290.0,249867044.0,561152.0,2794792.0,4915200.0,3735552.0,24136.0,2195456.0,8650752.0,1590910471.5804963,849067.0,249906006.0,4800.0,16384.0,52480.0,98304.0,4194304.0,1141694.0,1310720.0,1310720.0,13838584.0,619.35,1048576.0,11.0,15482880.0,1590384708.54,22032384.0,699920.0,700894.0,701195.0,701222.0,701232.0,701232.0,701232.0,701232.0,701232.0,701232.0,701232.0,701232.0,104886.0,105117.0,105138.0,105139.0,105139.0,105139.0,105139.0,105139.0,105139.0,105139.0,105139.0,105139.0,701361.0,105140.0,225.27816029200937,184.81421258700047,0.006197731,65.0,65.0,0.0,1.0
2020-05-31T13:05:00,0.00010145600000000001,0.00032112600000000003,0.00044664300000000004,0.000672872,0.010701283,36737.0,10.542273614,13.0,1684976.0,100754164888.0,1535290.0,249886614.0,561152.0,1684976.0,6537216.0,2637824.0,19392.0,2195456.0,9175040.0,1590910478.6359537,849077.0,249922805.0,4800.0,16384.0,64480.0,98304.0,4194304.0,1141694.0,1867776.0,1867776.0,13838584.0,619.42,1048576.0,11.0,15482880.0,1590384708.54,22032384.0,700049.0,701023.0,701324.0,701351.0,701361.0,701361.0,701361.0,701361.0,701361.0,701361.0,701361.0,701361.0,104887.0,105118.0,105139.0,105140.0,105140.0,105140.0,105140.0,105140.0,105140.0,105140.0,105140.0,105140.0,701518.0,105141.0,225.32437533100952,184.81737545600046,0.002332662,65.0,65.0,0.0,1.0
2020-05-31T13:05:05,0.00010145600000000001,0.00032112600000000003,0.00044664300000000004,0.000672872,0.010701283,36737.0,10.542273614,14.0,3533984.0,100756013896.0,1535290.0,249888634.0,561152.0,3533984.0,4390912.0,4227072.0,34171.0,2195456.0,8617984.0,1590910478.6359537,849092.0,249939774.0,4800.0,16384.0,58880.0,98304.0,4194304.0,1141694.0,1867776.0,1867776.0,13838584.0,619.48,1048576.0,10.0,15482880.0,1590384708.54,22032384.0,700206.0,701180.0,701481.0,701508.0,701518.0,701518.0,701518.0,701518.0,701518.0,701518.0,701518.0,701518.0,104888.0,105119.0,105140.0,105141.0,105141.0,105141.0,105141.0,105141.0,105141.0,105141.0,105141.0,105141.0,701680.0,105142.0,225.3809410540096,184.82256588800047,0.002764368,65.0,65.0,0.0,1.0
